"Part";"Value";"Device";"Package";"Description";"3_STATE_OUTPUT";"AVAILABILITY";"BITS";"CIIVA_IDS";"CODE__JEDEC";"DATASHEET_VERSION";"DESCRIPTION";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"F__NOM_VOLTAGEMAXMHZ";"ICC__NOM_VOLTAGEMAXMA";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"INPUT_TYPE";"LOGIC";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMPERATURE_RANGEC";"OUTPUT_DRIVE_IOLIOHMAXMA";"OUTPUT_LOGIC";"OUTPUT_TYPE";"PACKAGE";"POPULARITY";"PREFIX";"PRICE";"RATING";"RELEASE_DATE";"SCHMITT_TRIGGER";"STATIC_CURRENT";"TECHNOLOGY_FAMILY";"TPD__NOM_VOLTAGEMAXNS";"VAULT_GUID";"VAULT_REVISION";"VCC_MAX_V";"VCC_MIN_V";"VOLTAGE_NOM_V";
"JP1";"";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP2";"";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP3";"";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP4";"";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP5";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP6";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SR1";"74HC595";"74HC595";"SO16";"8-bit SHIFT REGISTER, output latch Check availability";"";"In Stock";"";"";"";"";" Shift Register Single 8-Bit Serial to Serial/Parallel 16-Pin SSOP T/R ";"";"";"";"";"";"";"";"";"";"";"Nexperia";"74HC595";"";"";"";"";"";"";"";"None";"";"";"None";"";"";"";"";"";"";"";"";"";"";"";
"SR2";"74HC595";"74HC595";"SO16";"8-bit SHIFT REGISTER, output latch Check availability";"";"In Stock";"";"";"";"";" Shift Register Single 8-Bit Serial to Serial/Parallel 16-Pin SSOP T/R ";"";"";"";"";"";"";"";"";"";"";"Nexperia";"74HC595";"";"";"";"";"";"";"";"None";"";"";"None";"";"";"";"";"";"";"";"";"";"";"";
"SR3";"74HC595";"74HC595";"SO16";"8-bit SHIFT REGISTER, output latch Check availability";"";"In Stock";"";"";"";"";" Shift Register Single 8-Bit Serial to Serial/Parallel 16-Pin SSOP T/R ";"";"";"";"";"";"";"";"";"";"";"Nexperia";"74HC595";"";"";"";"";"";"";"";"None";"";"";"None";"";"";"";"";"";"";"";"";"";"";"";
"SR4";"74HC595";"74HC595";"SO16";"8-bit SHIFT REGISTER, output latch Check availability";"";"In Stock";"";"";"";"";" Shift Register Single 8-Bit Serial to Serial/Parallel 16-Pin SSOP T/R ";"";"";"";"";"";"";"";"";"";"";"Nexperia";"74HC595";"";"";"";"";"";"";"";"None";"";"";"None";"";"";"";"";"";"";"";"";"";"";"";
"SR5";"74HC595";"74HC595";"SO16";"8-bit SHIFT REGISTER, output latch Check availability";"";"In Stock";"";"";"";"";" Shift Register Single 8-Bit Serial to Serial/Parallel 16-Pin SSOP T/R ";"";"";"";"";"";"";"";"";"";"";"Nexperia";"74HC595";"";"";"";"";"";"";"";"None";"";"";"None";"";"";"";"";"";"";"";"";"";"";"";
"U1";"TEXAS_INSTRUMENTS_SN74LVC16373ATEXAS_INSTRUMENTS_SN74LVC16373A_0_2";"TEXAS_INSTRUMENTS_SN74LVC16373ATEXAS_INSTRUMENTS_SN74LVC16373A_0_2";"TEXAS_INSTRUMENTS_SN74LVC16373A_2";"TI-SN54_74XXXXX16X373X-48";"Yes";"";"16";"19307467";"MO-153";"SCAS755B";"";"Level C";"Level B";"Level A";"100";"0.02";"yes";"vault";"1521844253";"CMOS,TTL";"true";"Texas Instruments";"";"SN74LVC16373A";"";"";"-40 to 125,-40 to 85";"24/-24";"Non-inverted";"CMOS";"DGG0048A";"";"U";"";"Catalog";"1459328133";"No";"0.02";"LVC";"6.4,4.2,4.9";"00FB3570-8383-4C82-A038-A58A20934C8C";"B0EE8CD6-9ACA-4FFF-ACFC-C0240CF4C59E";"3.6";"1.65";"1.8,2.5,2.7,3.3";
"U2";"TEXAS_INSTRUMENTS_SN74LVC16373ATEXAS_INSTRUMENTS_SN74LVC16373A_0_2";"TEXAS_INSTRUMENTS_SN74LVC16373ATEXAS_INSTRUMENTS_SN74LVC16373A_0_2";"TEXAS_INSTRUMENTS_SN74LVC16373A_2";"TI-SN54_74XXXXX16X373X-48";"Yes";"";"16";"19307467";"MO-153";"SCAS755B";"";"Level C";"Level B";"Level A";"100";"0.02";"yes";"vault";"1521844253";"CMOS,TTL";"true";"Texas Instruments";"";"SN74LVC16373A";"";"";"-40 to 125,-40 to 85";"24/-24";"Non-inverted";"CMOS";"DGG0048A";"";"U";"";"Catalog";"1459328133";"No";"0.02";"LVC";"6.4,4.2,4.9";"00FB3570-8383-4C82-A038-A58A20934C8C";"B0EE8CD6-9ACA-4FFF-ACFC-C0240CF4C59E";"3.6";"1.65";"1.8,2.5,2.7,3.3";
"U3";"TEXAS_INSTRUMENTS_SN74LVC16373ATEXAS_INSTRUMENTS_SN74LVC16373A_0_2";"TEXAS_INSTRUMENTS_SN74LVC16373ATEXAS_INSTRUMENTS_SN74LVC16373A_0_2";"TEXAS_INSTRUMENTS_SN74LVC16373A_2";"TI-SN54_74XXXXX16X373X-48";"Yes";"";"16";"19307467";"MO-153";"SCAS755B";"";"Level C";"Level B";"Level A";"100";"0.02";"yes";"vault";"1521844253";"CMOS,TTL";"true";"Texas Instruments";"";"SN74LVC16373A";"";"";"-40 to 125,-40 to 85";"24/-24";"Non-inverted";"CMOS";"DGG0048A";"";"U";"";"Catalog";"1459328133";"No";"0.02";"LVC";"6.4,4.2,4.9";"00FB3570-8383-4C82-A038-A58A20934C8C";"B0EE8CD6-9ACA-4FFF-ACFC-C0240CF4C59E";"3.6";"1.65";"1.8,2.5,2.7,3.3";
"U4";"TEXAS_INSTRUMENTS_SN74LVC16373ATEXAS_INSTRUMENTS_SN74LVC16373A_0_2";"TEXAS_INSTRUMENTS_SN74LVC16373ATEXAS_INSTRUMENTS_SN74LVC16373A_0_2";"TEXAS_INSTRUMENTS_SN74LVC16373A_2";"TI-SN54_74XXXXX16X373X-48";"Yes";"";"16";"19307467";"MO-153";"SCAS755B";"";"Level C";"Level B";"Level A";"100";"0.02";"yes";"vault";"1521844253";"CMOS,TTL";"true";"Texas Instruments";"";"SN74LVC16373A";"";"";"-40 to 125,-40 to 85";"24/-24";"Non-inverted";"CMOS";"DGG0048A";"";"U";"";"Catalog";"1459328133";"No";"0.02";"LVC";"6.4,4.2,4.9";"00FB3570-8383-4C82-A038-A58A20934C8C";"B0EE8CD6-9ACA-4FFF-ACFC-C0240CF4C59E";"3.6";"1.65";"1.8,2.5,2.7,3.3";
"U5";"TEXAS_INSTRUMENTS_SN74LVC16373ATEXAS_INSTRUMENTS_SN74LVC16373A_0_2";"TEXAS_INSTRUMENTS_SN74LVC16373ATEXAS_INSTRUMENTS_SN74LVC16373A_0_2";"TEXAS_INSTRUMENTS_SN74LVC16373A_2";"TI-SN54_74XXXXX16X373X-48";"Yes";"";"16";"19307467";"MO-153";"SCAS755B";"";"Level C";"Level B";"Level A";"100";"0.02";"yes";"vault";"1521844253";"CMOS,TTL";"true";"Texas Instruments";"";"SN74LVC16373A";"";"";"-40 to 125,-40 to 85";"24/-24";"Non-inverted";"CMOS";"DGG0048A";"";"U";"";"Catalog";"1459328133";"No";"0.02";"LVC";"6.4,4.2,4.9";"00FB3570-8383-4C82-A038-A58A20934C8C";"B0EE8CD6-9ACA-4FFF-ACFC-C0240CF4C59E";"3.6";"1.65";"1.8,2.5,2.7,3.3";
"X1";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FH12-20S-0.5SH(55)";"1324549";"34M6166";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X2";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FH12-20S-0.5SH(55)";"1324549";"34M6166";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X3";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FH12-20S-0.5SH(55)";"1324549";"34M6166";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X4";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FH12-20S-0.5SH(55)";"1324549";"34M6166";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";
